Precision_mean,Recall_mean,F1_mean,ROC_AUC_mean,Model
0.9953840732910499,0.8500581655480985,0.9168191882068889,0.9897562610842577,NaiveBayes
0.9863387732470141,0.7777628635346756,0.8696794226538194,0.9908227051964159,LogisticRegression
0.979882071555231,0.8982371364653243,0.9369947508388643,,LinearSVM
0.9923847923744231,0.8688053691275168,0.9263579281769954,,Voting_Hard
0.990373783922171,0.8313199105145413,0.9038859691033604,0.9917454254616267,Voting_Soft
0.978315944076026,0.9008948545861297,0.9377837366260431,0.9914654240706611,Stacking
0.9549259789879401,0.4284563758389262,0.591100937626452,0.9276398882590904,AdaBoost_Stump
